,Task1,Task2,Task3,Task4,Task5,Task6
J_G,30851.5,30470,19284,68781,70412,50669
S_T,23854.5,24078.5,15659,67755.5,60667.5,44578
A_C,24029.5,23377.5,13567,67678,57006,46833.5
G_C,26473,25534,18563,64569,64867,51121.5
S_S,25628,25887.5,12245.5,69231,68232.5,45296
T_L,29455.5,31296,14834,60293,72373.5,48234
V_D,22283,27454,16030,61396,58903,47895
R_S,33093.5,35894,20043,70995,75245,56629
H_B,24990,26656.5,16654,60905,63672.5,44774
J_Z,25571,28945,14586,63995,65708,49506
