,Task1-2,Tasks2-3,Task3-4,Tasks4-5,Task5-6
J_G,3960,3280,2360,3605,6972
S_T,3204,4657,2745,4328,6500
A_C,2742,3835,2480,4072,5827
G_C,3640,4270,2905,3840,5960
S_S,3065,4538,3020,4437,6385
T_L,3405,3486,2953,3546,6193
V_D,3325,3969,2589,3958,5928
R_S,3190,3661,3426,4112,5739
H_B,3778,4432,3116,4322,6835
J_Z,3290,4020,3004,3901,6003
