,Task1,Task2,Task3,Task4,Task5,Task6
J_G,27673.5,30663.5,17082,68128.5,67218.5,49331.5
S_T,23524,23539.5,15254,80618.5,70057.5,47649
A_C,25260.5,25181.5,16763,81330,71144,49680
G_C,25697,25440,17865,70012.5,69976,53434.5
S_S,24796,26283,16342,75342,68745.5,49687
T_L,30182,29438,15667,66786,74895,50432
V_D,23894,24895,15490,64357,64658,53788.5
R_S,32795,32698,23211,77582,81904,61894
H_B,22368,25294,19006,69940,72491.5,50434.5
J_Z,27543,29045,18455,74674.5,74893,57829
