,Task1,Task2,Task3,Task4,Task5,Task6
J_G,26467,30628.5,18317,56801.5,75956,50694
S_T,27259,29400.5,17100.5,53362.5,72828.5,46949.5
A_C,26424.5,29683.5,14691.5,53151,74891,42671
G_C,28459.5,30540.6,21945,53240,83350,50345
S_S,23895,22309,14897,62535.5,73564,42193.5
T_L,28439,26439,16495.5,49546.5,82230.5,59034.5
V_D,31893,29459,23001,60054,89344,49054
R_S,35893,32845,21983,66456,88923,55324
H_B,30043,28934,18550,56229,75554,49639
J_Z,28712,28342,18923,59903,76885,58394
