,Task1,Task2,Task3,Task4,Task5,Task6
J_G,0,0,1,2,0,0.5
S_T,1.5,1,0,1,2.5,0.5
A_C,1.5,0,1,0,1,3
G_C,1,0,1,0,2,4
S_S,0,1,2,1,2.5,1
T_L,1,1.5,4,0,0,2
V_D,0,0,2,2,1,4
R_S,1,1,1,2.5,3,0
H_B,1,1.5,0,0,2,1.5
J_Z,0,1,0,1,1.5,2
