,Task1,Task2,Task3,Task4,Task5,Task6
J_G,27876.5,31649,18307.5,53675,76187,51371
S_T,26684,29313,16312.5,51788.5,74728,47593
A_C,29012.5,30219,16666,56934.5,77095.5,44702.5
G_C,31837.5,26483,20984,50343,80439.5,45093.5
S_S,24954,23894,15696,59394.5,70354,43656
T_L,25347,27477,17552,52599,78978,53472
V_D,30843,34928,22938,58347,86493,54949
R_S,32034,31923.5,18530,61783,84293,52583.5
H_B,29439,29112,15453.5,53586.5,74571,46344
J_Z,27943,29405,18112,61923,74953,50043
